nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,median v3 sd v3 by id4 id5,5347,4,dplyr,1.1.2,,group_by,1,0.18,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,median v3 sd v3 by id4 id5,5347,4,dplyr,1.1.2,,group_by,2,0.19,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,max v1 - min v2 by id3,91,2,dplyr,1.1.2,,group_by,1,0,NA,TRUE,363,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,max v1 - min v2 by id3,91,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,363,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,sum v3 count by id1:id6,10000,8,dplyr,1.1.2,,group_by,1,0.08,NA,TRUE,449477.7;10000,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,sum v3 count by id1:id6,10000,8,dplyr,1.1.2,,group_by,2,0.08,NA,TRUE,449477.7;10000,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,300292,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,300292,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 by id1:id2,9999,3,dplyr,1.1.2,,group_by,1,0.05,NA,TRUE,300292,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 by id1:id2,9999,3,dplyr,1.1.2,,group_by,2,0.03,NA,TRUE,300292,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 mean v3 by id3,1000,3,dplyr,1.1.2,,group_by,1,0,NA,TRUE,300292;50095.23,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1 mean v3 by id3,1000,3,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,300292;50095.23,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,300.3;800.8632;5009.038,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,2,0,NA,TRUE,300.3;800.8632;5009.038,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1:v3 by id6,1000,4,dplyr,1.1.2,,group_by,1,0.01,NA,TRUE,300292;800809;5009219,0,NA,FALSE
PCMACS,NA,1693776045,groupby,G1_1e5_1e2_0_0.csv,100000,sum v1:v3 by id6,1000,4,dplyr,1.1.2,,group_by,2,0.01,NA,TRUE,300292;800809;5009219,0,NA,FALSE
PCMACS,NA,1693776046,groupby,G1_1e5_1e2_0_0.csv,100000,median v3 sd v3 by id4 id5,9999,4,dplyr,1.1.2,,group_by,1,0.32,NA,TRUE,500133.2;NA,0,NA,FALSE
PCMACS,NA,1693776046,groupby,G1_1e5_1e2_0_0.csv,100000,median v3 sd v3 by id4 id5,9999,4,dplyr,1.1.2,,group_by,2,0.33,NA,TRUE,500133.2;NA,0,NA,FALSE
PCMACS,NA,1693776047,groupby,G1_1e5_1e2_0_0.csv,100000,max v1 - min v2 by id3,1000,2,dplyr,1.1.2,,group_by,1,0,NA,TRUE,4000,0,NA,FALSE
PCMACS,NA,1693776047,groupby,G1_1e5_1e2_0_0.csv,100000,max v1 - min v2 by id3,1000,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,4000,0,NA,FALSE
PCMACS,NA,1693776047,groupby,G1_1e5_1e2_0_0.csv,100000,sum v3 count by id1:id6,100000,8,dplyr,1.1.2,,group_by,1,0.69,NA,TRUE,5009219;100000,0,NA,FALSE
PCMACS,NA,1693776048,groupby,G1_1e5_1e2_0_0.csv,100000,sum v3 count by id1:id6,100000,8,dplyr,1.1.2,,group_by,2,0.66,NA,TRUE,5009219;100000,0,NA,FALSE
PCMACS,NA,1693776048,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,1,0,NA,TRUE,270421,0,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,270421,0,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 by id1:id2,8280,3,dplyr,1.1.2,,group_by,1,0.05,NA,TRUE,270421,0,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 by id1:id2,8280,3,dplyr,1.1.2,,group_by,2,0.03,NA,TRUE,270421,0,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 mean v3 by id3,901,3,dplyr,1.1.2,,group_by,1,0.01,NA,TRUE,270421;45102.88,0,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1 mean v3 by id3,901,3,dplyr,1.1.2,,group_by,2,0,NA,TRUE,270421;45102.88,0.01,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,1,0,NA,TRUE,273.5528;728.9052;4557.974,0.02,NA,FALSE
PCMACS,NA,1693776049,groupby,G1_1e5_1e2_10_0.csv,100000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,273.5528;728.9052;4557.974,0,NA,FALSE
PCMACS,NA,1693776050,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1:v3 by id6,901,4,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,270421;720829;4508010,0,NA,FALSE
PCMACS,NA,1693776050,groupby,G1_1e5_1e2_10_0.csv,100000,sum v1:v3 by id6,901,4,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,270421;720829;4508010,0,NA,FALSE
PCMACS,NA,1693776050,groupby,G1_1e5_1e2_10_0.csv,100000,median v3 sd v3 by id4 id5,8280,4,dplyr,1.1.2,,group_by,1,0.28,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776050,groupby,G1_1e5_1e2_10_0.csv,100000,median v3 sd v3 by id4 id5,8280,4,dplyr,1.1.2,,group_by,2,0.26,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776051,groupby,G1_1e5_1e2_10_0.csv,100000,max v1 - min v2 by id3,901,2,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,3604,0,NA,FALSE
PCMACS,NA,1693776051,groupby,G1_1e5_1e2_10_0.csv,100000,max v1 - min v2 by id3,901,2,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,3604,0,NA,FALSE
PCMACS,NA,1693776051,groupby,G1_1e5_1e2_10_0.csv,100000,sum v3 count by id1:id6,100000,8,dplyr,1.1.2,,group_by,1,0.63,NA,TRUE,4508010;100000,0.02,NA,FALSE
PCMACS,NA,1693776052,groupby,G1_1e5_1e2_10_0.csv,100000,sum v3 count by id1:id6,100000,8,dplyr,1.1.2,,group_by,2,0.64,NA,TRUE,4508010;100000,0,NA,FALSE
PCMACS,NA,1693776053,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,3000297,0.01,NA,FALSE
PCMACS,NA,1693776053,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,3000297,0,NA,FALSE
PCMACS,NA,1693776053,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 by id1:id2,10000,3,dplyr,1.1.2,,group_by,1,0.07,NA,TRUE,3000297,0,NA,FALSE
PCMACS,NA,1693776053,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 by id1:id2,10000,3,dplyr,1.1.2,,group_by,2,0.05,NA,TRUE,3000297,0,NA,FALSE
PCMACS,NA,1693776053,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 mean v3 by id3,10000,3,dplyr,1.1.2,,group_by,1,0.12,NA,TRUE,3000297;500393.5,0,NA,FALSE
PCMACS,NA,1693776054,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1 mean v3 by id3,10000,3,dplyr,1.1.2,,group_by,2,0.12,NA,TRUE,3000297;500393.5,0,NA,FALSE
PCMACS,NA,1693776054,groupby,G1_1e6_1e2_0_0.csv,1000000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,1,0.07,NA,TRUE,300.03;799.8114;5003.666,0,NA,FALSE
PCMACS,NA,1693776054,groupby,G1_1e6_1e2_0_0.csv,1000000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,2,0.06,NA,TRUE,300.03;799.8114;5003.666,0,NA,FALSE
PCMACS,NA,1693776054,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1:v3 by id6,10000,4,dplyr,1.1.2,,group_by,1,0.08,NA,TRUE,3000297;7998131;50037099,0,NA,FALSE
PCMACS,NA,1693776054,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v1:v3 by id6,10000,4,dplyr,1.1.2,,group_by,2,0.08,NA,TRUE,3000297;7998131;50037099,0,NA,FALSE
PCMACS,NA,1693776055,groupby,G1_1e6_1e2_0_0.csv,1000000,median v3 sd v3 by id4 id5,10000,4,dplyr,1.1.2,,group_by,1,0.39,NA,TRUE,500419.4;288429.9,0,NA,FALSE
PCMACS,NA,1693776055,groupby,G1_1e6_1e2_0_0.csv,1000000,median v3 sd v3 by id4 id5,10000,4,dplyr,1.1.2,,group_by,2,0.39,NA,TRUE,500419.4;288429.9,0,NA,FALSE
PCMACS,NA,1693776056,groupby,G1_1e6_1e2_0_0.csv,1000000,max v1 - min v2 by id3,10000,2,dplyr,1.1.2,,group_by,1,0.03,NA,TRUE,39992,0,NA,FALSE
PCMACS,NA,1693776056,groupby,G1_1e6_1e2_0_0.csv,1000000,max v1 - min v2 by id3,10000,2,dplyr,1.1.2,,group_by,2,0.04,NA,TRUE,39992,0,NA,FALSE
PCMACS,NA,1693776064,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v3 count by id1:id6,1000000,8,dplyr,1.1.2,,group_by,1,7.61,NA,TRUE,50037099;1000000,0,NA,FALSE
PCMACS,NA,1693776071,groupby,G1_1e6_1e2_0_0.csv,1000000,sum v3 count by id1:id6,1000000,8,dplyr,1.1.2,,group_by,2,7.2,NA,TRUE,50037099;1000000,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,2700684,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,2700684,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 by id1:id2,8281,3,dplyr,1.1.2,,group_by,1,0.04,NA,TRUE,2700684,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 by id1:id2,8281,3,dplyr,1.1.2,,group_by,2,0.05,NA,TRUE,2700684,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 mean v3 by id3,9001,3,dplyr,1.1.2,,group_by,1,0.09,NA,TRUE,2700684;450406,0,NA,FALSE
PCMACS,NA,1693776072,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1 mean v3 by id3,9001,3,dplyr,1.1.2,,group_by,2,0.09,NA,TRUE,2700684;450406,0,NA,FALSE
PCMACS,NA,1693776073,groupby,G1_1e6_1e2_10_0.csv,1000000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,1,0.05,NA,TRUE,273.0936;727.7933;4554.073,0,NA,FALSE
PCMACS,NA,1693776073,groupby,G1_1e6_1e2_10_0.csv,1000000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,2,0.06,NA,TRUE,273.0936;727.7933;4554.073,0,NA,FALSE
PCMACS,NA,1693776073,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1:v3 by id6,9001,4,dplyr,1.1.2,,group_by,1,0.08,NA,TRUE,2700684;7198551;45036571,0,NA,FALSE
PCMACS,NA,1693776073,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v1:v3 by id6,9001,4,dplyr,1.1.2,,group_by,2,0.08,NA,TRUE,2700684;7198551;45036571,0,NA,FALSE
